GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability
INDOFLOODS-gauge-394,259.2,262.0,Biligundulu,12.18,77.73,Cauvery,Cauvery,Karnataka,1971-08-30,2020-05-27,17715,17273,Open,36682.0,36889.80078,0.566492503,Safe
INDOFLOODS-gauge-118,66.75,67.75,Jainagar,26.5833,86.1481,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-07-01,2010-12-31,14134,13725,Restricted,2131.0,2118.569336,0.583325387,Safe
INDOFLOODS-gauge-119,49.0,50.0,Jhanjharpur,26.2333,86.2594,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14939,14616,Restricted,2945.0,3504.4235840000006,18.99570744,Safe
INDOFLOODS-gauge-121,70.0,71.0,DHENG BRIDGE,26.7228,85.3231,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-07-01,2010-12-31,14762,14750,Restricted,3790.0,3580.8469240000004,5.518550818,Safe
INDOFLOODS-gauge-560,218.0,220.98,Burhanpur,21.2994,76.235,Tapi,Tapi,Madhya Pradesh,1972-09-14,2019-08-20,16611,16249,Open,8487.0,8926.981445,5.184181042,Safe
INDOFLOODS-gauge-571,226.73,227.73,Pauni,20.7947,79.6478,Godavari/Pranhita/ Wainganga,Godavari,Maharashtra,1964-09-21,2020-05-27,15744,15032,Open,35520.0,35499.88672,0.056625225,Safe
INDOFLOODS-gauge-361,582.25,582.5,T.k.halli,12.4167,77.1925,Cauvery/Shimsha,Cauvery,Karnataka,1978-06-12,2020-05-27,14021,14063,Open,7890.0,8031.312988,1.7910391380000001,Safe
INDOFLOODS-gauge-964,198.33,199.33,garhmukteshwar,28.7667,78.1417,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1967-04-01,2011-12-30,16345,16345,Restricted,29709.0,28710.808589999997,3.359895688,Safe
INDOFLOODS-gauge-120,34.65,35.65,Dhengraghat,25.8478,87.8031,Ganga/Mahananda,Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-04-01,2010-12-31,9405,9375,Restricted,10160.0,7669.711426000001,24.51071431,Safe
INDOFLOODS-gauge-364,7.0,9.0,Bantwal,12.8844,75.0431,Nethravathi,West flowing rivers from Tadri to Kanyakumari,Karnataka,1970-11-01,2020-05-27,17567,17159,Open,3184.0,3250.029541,2.073792117,Safe
INDOFLOODS-gauge-955,189.6,190.6,moradabad,28.8267,78.7981,Ganga/Ramganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1968-05-22,2011-12-31,15855,15844,Restricted,6807.0,6854.594727,0.699202688,Safe
INDOFLOODS-gauge-349,14.0,17.0,Santeguli,14.4344,74.5861,Aghanashini,West flowing rivers from Tadri to Kanyakumari,Karnataka,1988-06-01,2020-05-27,11364,11228,Open,1090.0,1027.7146,5.714256881,Safe
INDOFLOODS-gauge-117,61.22,62.22,Dumariaghat,26.3792,84.7317,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,1977-01-01,2010-12-31,12418,12356,Restricted,41520.0,40759.60156,1.8314027940000002,Safe
INDOFLOODS-gauge-960,136.6,137.6,fatehgarh,27.4042,79.625,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1971-11-14,2011-12-31,14657,14658,Restricted,40096.0,38909.0625,2.9602391760000004,Safe
INDOFLOODS-gauge-429,9.0,10.0,Thumpamon,9.22,76.71,Pamba/Achankovil,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1977-12-21,2020-05-27,15052,14757,Open,810.0,813.0768433,0.37985719799999995,Safe
INDOFLOODS-gauge-957,112.0,113.0,kanpur,26.4694,80.3764,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1959-05-01,2011-12-31,19206,19207,Restricted,87650.0,85868.82031,2.032150245,Safe
INDOFLOODS-gauge-427,5.0,6.0,Kallooppara,9.4036,76.6503,Pampa/Manimala,West Flowing Rivers From Tadri to Kanyakumari,Kerala,1985-06-19,2020-05-27,12295,11998,Open,731.0,704.2370605000001,3.661140834,Safe
INDOFLOODS-gauge-396,20.5,23.0,Yennehole,13.2942,74.9808,Swarna/Yennehole,West flowing rivers from Tadri to Kanyakumari,Karnataka,1989-07-24,2020-05-27,10807,10581,Open,327.0,346.30181880000004,5.902696881000001,Safe
INDOFLOODS-gauge-29,310.0,312.0,Mantralayam,15.9483,77.4264,Krishna/Tungabha dra,Krishna,Andhra Pradesh,1972-06-01,2020-05-27,17266,16955,Open,60630.0,64017.37891,5.586968349,Safe
INDOFLOODS-gauge-130,539.5,540.8,Jagdalpur,19.1081,82.0228,Godavari/ Indravati,Godavari,Chhattisgarh,1965-06-01,2020-05-27,19354,18777,Open,7380.0,7189.501953,2.58127435,Safe
INDOFLOODS-gauge-948,123.0,124.0,ankinghat,26.9347,80.0361,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1968-05-14,2011-12-31,15937,15937,Restricted,82209.0,81570.95313,0.77612776,Safe
INDOFLOODS-gauge-115,47.68,48.68,Benibad,26.1453,85.6922,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-04-01,2010-12-30,9405,9384,Restricted,6160.0,1793.517334,70.88445886,Caution
INDOFLOODS-gauge-164,204.5,205.33,delhi rly bridge,28.6625,77.2467,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Delhi,1963-06-06,2011-12-31,17741,17740,Restricted,18552.0,36437.1875,96.40571097,Caution
INDOFLOODS-gauge-953,161.0,162.0,kachlabridge,27.9319,78.8606,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,1971-12-10,2011-12-31,14417,14477,Restricted,34446.0,32938.54688,4.3762791619999994,Safe
INDOFLOODS-gauge-113,32.85,33.85,Baltara,25.5006,86.75,Ganga/Kosi,Ganga - Brahmaputra - Meghna/Barak,Bihar,1970-01-01,2010-12-31,14881,14852,Restricted,88480.0,82251.97656,7.038905335,Safe
INDOFLOODS-gauge-966,103.0,104.0,Banda,25.4833,80.3133,Ganga/Yamuna/Ken,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,1959-06-01,2011-05-31,18991,18991,Restricted,27616.0,25075.86914,9.198040484,Safe
INDOFLOODS-gauge-1059,85.65,85.95,Domohani ,26.5628,88.7583,Brahmaputra/ Teesta,Ganga - Brahmaputra -Meghna/Barak,West Bengal,2010-06-01,2020-10-31,1304,0,Open,9432.0,9526.455078,1.001432125,Safe
INDOFLOODS-gauge-85,10.17,10.8,Srikakulam,18.3133,83.8842,Nagavali,East flowing rivers between Mahanadi and Pennar,Andhra Pradesh,1990-08-25,2020-05-27,10778,10348,Open,9500.0,9025.510742,4.994623768,Safe
INDOFLOODS-gauge-397,542.0,544.0,Gokak falls,16.19,74.7914,Krishna/ Ghataprabha,Krishna,Karnataka,1971-07-14,2019-08-20,14284,14064,Open,2770.0,2771.248779,0.045082274000000006,Safe
INDOFLOODS-gauge-739,37.44,38.36,Anandapur,21.2111,86.1206,Baitarni, Brahmni - Baitarni,Odisha,1972-03-07,2020-05-27,17560,17124,Open,8570.0,8498.889648,0.829759067,Safe
INDOFLOODS-gauge-125,51.32,52.32,Saulighat,26.4089,85.8597,"Ganga/Kosi/
Bagmati/Adhwara/ Dhaus",Ganga - Brahmaputra - Meghna/Barak,Bihar,1985-03-22,2010-12-31,9416,9371,Restricted,1932.0,3314.956299,71.58158898,Caution
